"","time","lat","lon","ugrd10m","vgrd10m","dir","speed"
"277",2015-02-12,41.5,-2,-1.18,0.28,283.348727113287,1.21276543486364
"278",2015-02-12,41.5,-1.5,-0.53999996,1.23,336.297355611213,1.34331677455468
"279",2015-02-12,41.5,-1,-1.24,0.90999997,306.27386332274,1.53808320496649
"280",2015-02-12,41.5,-0.5,-1.6899999,-0.57,251.361874478935,1.78353571929469
"564",2015-02-12,41.5,0,-1.0799999,-0.59999996,240.945395270309,1.235475510077
"565",2015-02-12,41.5,0.5,-0.96999997,0.34,289.316353372667,1.02786183011142
"566",2015-02-12,41.5,1,-1.04,0.69,303.562743781092,1.24807852317072
"567",2015-02-12,41.5,1.5,-0.39999998,0.29999998,306.869897187478,0.499999972
"568",2015-02-12,41.5,2,-0.07,-0.25,195.642246457209,0.259615099714943
"569",2015-02-12,41.5,2.5,0.39,0.48,39.0938588862295,0.618465843842649
"570",2015-02-12,41.5,3,-0.099999994,1.9699999,357.094079027147,1.97253633801763
"571",2015-02-12,41.5,3.5,-1.3299999,1.9799999,326.110064941033,2.38522521745851
"572",2015-02-12,41.5,4,-2.02,0.83,292.337323767638,2.18387270691311
"573",2015-02-12,41.5,4.5,-1.9799999,-0.049999997,268.553444327155,1.980631112474
"574",2015-02-12,41.5,5,-2.1,-0.08,267.818358596449,2.10152325706855
"241",2015-02-12,41,-10,-0.94,3.6799998,345.671059585658,3.79815725424844
"242",2015-02-12,41,-9.5,-2.57,1.4499999,299.431791030829,2.95083034246295
"243",2015-02-12,41,-9,-2.84,0.38,277.621071309297,2.86530975637888
"244",2015-02-12,41,-8.5,-1.63,0.53999996,288.32943058589,1.71711966874764
"245",2015-02-12,41,-8,-1.0799999,0.47,293.517963614802,1.17783690891397
"246",2015-02-12,41,-7.5,-0.57,0,270,0.57
"247",2015-02-12,41,-7,-0.76,0.01,270.753848333071,0.760065786626395
"248",2015-02-12,41,-6.5,-1.75,0.47,285.033258129388,1.81201545247274
"249",2015-02-12,41,-6,-1.3,0.26999998,281.73308331139,1.32774244083708
"250",2015-02-12,41,-5.5,-0.29999998,0.08,284.931418129105,0.310483474600502
"251",2015-02-12,41,-5,-0.049999997,0.68,355.794643249708,0.681835757129237
"252",2015-02-12,41,-4.5,-0.88,1.74,333.172125989685,1.94987179065702
"253",2015-02-12,41,-4,-1,1.15,318.99091309843,1.52397506541282
"254",2015-02-12,41,-3.5,-0.57,1.4699999,338.805942204651,1.57664190798038
"255",2015-02-12,41,-3,-0.41,1.52,344.904479155789,1.57432525229064
"256",2015-02-12,41,-2.5,-0.35999998,1.31,344.633915600499,1.3585654145458
"257",2015-02-12,41,-2,-0.02,2.07,359.446434814118,2.07009661610274
"258",2015-02-12,41,-1.5,-0.51,3.32,351.266806451463,3.35894328621369
"259",2015-02-12,41,-1,0.17,2.24,4.34002072596443,2.24644163066838
"260",2015-02-12,41,-0.5,0.59,0.84999996,34.7651984995886,1.03469799072
"553",2015-02-12,41,0,-0.56,1.7199999,341.965713452258,1.80886695364806
"554",2015-02-12,41,0.5,-0.68,1.1,328.276397042316,1.29321305282618
"555",2015-02-12,41,1,-1.06,-0.93,228.73762954341,1.4101418368377
"556",2015-02-12,41,1.5,-1.51,-1.35,228.202020583322,2.02548759561741
"557",2015-02-12,41,2,-1.92,0.26,277.711892412659,1.93752419339734
"558",2015-02-12,41,2.5,-2.35,1.39,300.603863152831,2.73031133755841
"559",2015-02-12,41,3,-2.77,1.5799999,299.700308932727,3.18893394161748
"560",2015-02-12,41,3.5,-2.8,1.4599999,297.538821740725,3.15778398691234
"561",2015-02-12,41,4,-2.56,1.17,294.561881828416,2.81469358900751
