spcode,x,y
stedie,-67.8725,44.6721
tapses,-67.8846,44.7753
tapses,-67.9294,44.7713
tapses,-67.7704,44.7479
tapses,-67.8381,44.6682
tapses,-67.8725,44.6721
tapses,-67.88,44.6691
tapses,-67.7739,44.7885
tapses,-68.4063,44.8257
tapses,-68.6872,44.5468
tapses,-68.7489,44.4648
tapses,-67.5334,44.7309
temamb,-67.9294,44.7713
temamb,-67.8725,44.6721
temamb,-68.4063,44.8257
temamb,-68.6872,44.5468
temamb,-68.7489,44.4648
temamb,-67.8545,44.6724
temamb,-67.853,44.6705
temamb,-67.7894,44.6766
camame,-71.5071,41.4903
camcas,-71.5071,41.4903
camcas,-71.6395,41.3872
camcas,-71.4348,41.5081
camchr,-71.6635,41.4572
camchr,-71.8261,41.3771
camchr,-71.5071,41.4903
camchr,-71.4453,41.4482
camchr,-71.4662,41.5487
camnov,-71.5071,41.4903
camnov,-71.1523,42.4792
camnov,-71.2357,42.3753
camnov,-71.5564,41.475
camnov,-71.3109,41.7333
camnov,-71.3828,41.8787
camnov,-71.6234,41.7952
camnov,-73.184,44.4805
camnov,-71.0668,42.3547
camnov,-69.4508,44.2047
camnov,-71.661,41.456
campen,-71.6635,41.4572
campen,-71.5197,41.8329
campen,-71.5564,41.475
campen,-71.6497,41.6264
campen,-71.8261,41.3771
campen,-71.5382,41.575
campen,-71.4662,41.5487
campen,-71.4125,41.8231
campen,-71.3109,41.7333
campen,-71.463,41.7
campen,-71.5071,41.4903
forarg,-71.5071,41.4903
forinc,-71.5071,41.4903
forcre,-71.2357,42.3753
fordol,-71.5071,41.4903
forexs,-71.5071,41.4903
forexs,-71.4453,41.4482
forimp,-71.5071,41.4903
forimp,-71.4431,41.708
forint,-71.5071,41.4903
forlas,-71.1523,42.4792
forneo1,-71.1523,42.4792
forneo1,-71.2357,42.3753
forobs,-71.5071,41.4903
forpal,-71.5071,41.4903
forque,-71.5071,41.4903
forsub2,-71.4125,41.8231
forsub3,-71.5071,41.4903
forsub3,-71.1523,42.4792
forsub3,-71.8261,41.3771
forsub3,-71.5197,41.8329
forsub3,-71.3828,41.8787
lasali,-71.5071,41.4903
lasali,-71.1523,42.4792
lasali,-71.6835,41.7
lasali,-71.8261,41.3771
lascla,-71.5071,41.4903
lascla,-71.437,41.7792
lasint,-71.5071,41.4903
laslat,-71.437,41.7792
lasneo,-71.5071,41.4903
lasspe,-71.5071,41.4903
lasumb,-71.5071,41.4903
nylpar,-71.5071,41.4903
preimp,-71.5071,41.4903
dolpla,-71.5071,41.4903
tapses,-71.5071,41.4903
tapses,-71.2357,42.3753
aphrud,-71.5071,41.4903
crelin,-71.5071,41.4903
monvir,-71.5071,41.4903
myrlat,-71.1523,42.4792
myrlob,-71.2357,42.3753
myrsmi,-71.5071,41.4903
temcur,-71.5071,41.4903
