x,y,species cloglog values
453.0,453.0,0.22402756
454.0,454.0,0.5002242
455.0,455.0,2.5691584E-4
456.0,456.0,7.2601554E-4
457.0,457.0,6.351947E-5
458.0,458.0,0.42196947
459.0,459.0,4.5524554E-5
460.0,460.0,3.8627204E-5
461.0,461.0,0.41760653
462.0,462.0,0.27242786
463.0,463.0,0.26240617
464.0,464.0,0.0018017688
465.0,465.0,1.1027705E-5
466.0,466.0,1.7266198E-4
467.0,467.0,0.10465606
468.0,468.0,0.48833692
469.0,469.0,0.3778842
470.0,470.0,5.794906E-6
471.0,471.0,0.35705644
472.0,472.0,2.3398607E-6
473.0,473.0,0.33924517
474.0,474.0,0.3831419
475.0,475.0,2.1341432E-6
476.0,476.0,8.824413E-6
477.0,477.0,0.34262303
478.0,478.0,0.34234506
479.0,479.0,2.2918584E-4
480.0,480.0,0.03808145
481.0,481.0,0.006708502
482.0,482.0,2.6533866E-5
483.0,483.0,0.38998866
484.0,484.0,1.4000393E-6
485.0,485.0,1.574874E-4
486.0,486.0,8.9981295E-6
487.0,487.0,0.26872575
488.0,488.0,1.1383244E-6
489.0,489.0,2.8599612E-4
490.0,490.0,4.2236035E-5
491.0,491.0,0.44450843
492.0,492.0,0.0092888195
493.0,493.0,2.988101E-6
494.0,494.0,8.412295E-5
495.0,495.0,5.5718385E-7
496.0,496.0,0.3533201
497.0,497.0,1.1537742E-4
498.0,498.0,4.20889E-6
499.0,499.0,0.0033501354
500.0,500.0,0.60822904
501.0,501.0,0.082510464
502.0,502.0,0.012020462
503.0,503.0,0.052092794
504.0,504.0,4.0628217E-4
505.0,505.0,0.16067925
506.0,506.0,7.1408135E-6
507.0,507.0,0.07960738
508.0,508.0,0.013321095
509.0,509.0,4.2704865E-4
510.0,510.0,2.4929038E-6
511.0,511.0,1.6028978E-4
512.0,512.0,1.5691799E-4
513.0,513.0,0.31878838
514.0,514.0,8.685159E-7
515.0,515.0,0.015038437
516.0,516.0,2.6859343E-4
517.0,517.0,0.32686463
518.0,518.0,0.1102958
519.0,519.0,0.011545541
520.0,520.0,0.0053721494
521.0,521.0,4.093851E-4
522.0,522.0,0.002777736
523.0,523.0,0.07798252
524.0,524.0,2.6985812E-5
525.0,525.0,0.3274497
526.0,526.0,0.016434208
527.0,527.0,0.18464004
528.0,528.0,0.34859574
529.0,529.0,0.04251528
530.0,530.0,0.4542334
531.0,531.0,0.6218564
532.0,532.0,0.0071714288
533.0,533.0,1.2248565E-5
534.0,534.0,4.73313E-4
535.0,535.0,0.38747388
536.0,536.0,0.077933
537.0,537.0,2.7431434E-4
538.0,538.0,0.008934915
539.0,539.0,0.0023341198
540.0,540.0,0.004125978
541.0,541.0,1.5572205E-7
542.0,542.0,2.8654264E-4
543.0,543.0,0.7365057
544.0,544.0,1.0376367E-4
545.0,545.0,0.03801311
546.0,546.0,0.25281405
547.0,547.0,5.2506063E-4
548.0,548.0,0.0030902666
549.0,549.0,8.770866E-5
550.0,550.0,1.1248791E-5
551.0,551.0,0.6497875
552.0,552.0,3.5683428E-7
553.0,553.0,0.9076078
554.0,554.0,0.4442711
555.0,555.0,3.2161254E-6
556.0,556.0,0.27432883
557.0,557.0,6.5567647E-6
558.0,558.0,0.01942235
559.0,559.0,4.862835E-6
560.0,560.0,0.0049821762
561.0,561.0,0.0031770354
562.0,562.0,0.053607676
563.0,563.0,0.031809725
564.0,564.0,5.947445E-5
565.0,565.0,0.032548226
566.0,566.0,0.003329458
567.0,567.0,0.015222021
568.0,568.0,7.511174E-5
569.0,569.0,0.09320272
570.0,570.0,2.1272963E-4
571.0,571.0,0.28108004
572.0,572.0,8.505344E-6
573.0,573.0,0.0051573063
574.0,574.0,0.0033022459
575.0,575.0,2.5231618E-4
576.0,576.0,0.0030455114
577.0,577.0,3.2015778E-6
578.0,578.0,0.438668
579.0,579.0,9.51246E-4
580.0,580.0,0.016634988
581.0,581.0,0.004670962
582.0,582.0,1.9662957E-6
583.0,583.0,0.04581755
584.0,584.0,0.01860633
585.0,585.0,4.6243414E-4
586.0,586.0,0.2381126
587.0,587.0,0.4120977
588.0,588.0,0.265498
589.0,589.0,0.062194686
590.0,590.0,0.0069410903
591.0,591.0,4.0673734E-5
592.0,592.0,6.454208E-5
593.0,593.0,0.40530604
594.0,594.0,0.175825
595.0,595.0,8.004166E-7
596.0,596.0,0.06685002
597.0,597.0,0.99752057
598.0,598.0,0.001806676
599.0,599.0,0.019710502
600.0,600.0,0.02307823
601.0,601.0,0.17550361
602.0,602.0,0.86573756
603.0,603.0,0.08159124
604.0,604.0,0.009584256
605.0,605.0,0.011970808
606.0,606.0,6.5069045E-8
607.0,607.0,0.21363932
608.0,608.0,0.0010535099
609.0,609.0,2.909031E-4
610.0,610.0,0.16383255
611.0,611.0,6.532746E-4
612.0,612.0,1.6909007E-5
613.0,613.0,1.8089556E-4
614.0,614.0,2.2751533E-6
615.0,615.0,0.014642522
616.0,616.0,2.1127712E-4
617.0,617.0,5.1304064E-6
618.0,618.0,2.340497E-6
619.0,619.0,8.529969E-4
620.0,620.0,2.400928E-7
621.0,621.0,4.308215E-4
622.0,622.0,1.3348804E-4
623.0,623.0,4.5610138E-4
624.0,624.0,0.33459997
625.0,625.0,4.2142903E-5
626.0,626.0,0.0015090235
627.0,627.0,1.2258248E-4
628.0,628.0,6.4664615E-5
629.0,629.0,7.7797435E-5
630.0,630.0,0.11516358
631.0,631.0,1.4721674E-4
632.0,632.0,6.672795E-5
633.0,633.0,0.5613082
634.0,634.0,5.5920857E-5
635.0,635.0,0.06123046
636.0,636.0,0.0038331791
637.0,637.0,0.0014429723
638.0,638.0,0.34986708
639.0,639.0,1.0834201E-5
640.0,640.0,8.669088E-6
641.0,641.0,9.767774E-4
642.0,642.0,1.105603E-5
643.0,643.0,0.926574
644.0,644.0,0.0014114288
645.0,645.0,0.4343847
646.0,646.0,0.5014639
647.0,647.0,3.254294E-6
648.0,648.0,1.7811652E-5
649.0,649.0,0.011655972
650.0,650.0,0.001469108
651.0,651.0,4.5446784E-4
652.0,652.0,3.383352E-4
653.0,653.0,4.7899058E-4
654.0,654.0,0.24276397
655.0,655.0,0.32776004
656.0,656.0,0.16258839
657.0,657.0,5.58306E-7
658.0,658.0,5.0502526E-6
659.0,659.0,0.15874204
660.0,660.0,0.014865331
661.0,661.0,3.7736463E-4
662.0,662.0,0.45474696
663.0,663.0,1.9699971E-4
664.0,664.0,0.0028063147
665.0,665.0,4.616906E-4
666.0,666.0,0.00916613
667.0,667.0,0.08697336
668.0,668.0,4.6795135E-6
669.0,669.0,0.0070874104
670.0,670.0,2.4336958E-4
671.0,671.0,0.44106165
672.0,672.0,1.9240006E-5
673.0,673.0,0.6070279
674.0,674.0,1.8641426E-6
675.0,675.0,0.0032663445
676.0,676.0,0.54371095
677.0,677.0,0.19054271
678.0,678.0,0.4420203
679.0,679.0,6.4727334E-5
680.0,680.0,4.24665E-5
681.0,681.0,3.0069104E-5
682.0,682.0,4.6317644E-5
683.0,683.0,4.625336E-6
684.0,684.0,6.6090793E-6
685.0,685.0,4.0787305E-5
686.0,686.0,3.4192155E-6
687.0,687.0,1.2865126E-5
688.0,688.0,4.0113333E-5
689.0,689.0,8.066828E-4
690.0,690.0,0.09821427
691.0,691.0,6.4641354E-4
692.0,692.0,0.32689255
693.0,693.0,0.076334804
694.0,694.0,9.844877E-7
695.0,695.0,0.017661143
696.0,696.0,3.235203E-6
697.0,697.0,6.538716E-5
698.0,698.0,0.4356606
699.0,699.0,0.032053683
700.0,700.0,0.012708559
701.0,701.0,9.210122E-5
702.0,702.0,0.003177487
703.0,703.0,2.3617581E-4
704.0,704.0,3.466594E-4
705.0,705.0,1.466061E-5
706.0,706.0,6.380093E-5
707.0,707.0,0.48279798
708.0,708.0,0.04680007
709.0,709.0,1.932702E-4
710.0,710.0,0.4118018
711.0,711.0,0.006057968
712.0,712.0,9.203994E-6
713.0,713.0,0.420792
714.0,714.0,0.52526546
715.0,715.0,0.24228103
716.0,716.0,0.004212627
717.0,717.0,1.8083797E-4
718.0,718.0,0.406644
719.0,719.0,4.1371948E-7
720.0,720.0,0.39801824
721.0,721.0,3.3757533E-5
722.0,722.0,2.2369828E-4
723.0,723.0,3.5192502E-7
724.0,724.0,6.0924256E-5
725.0,725.0,0.7695111
726.0,726.0,0.022813689
727.0,727.0,0.11284165
728.0,728.0,2.3282648E-6
729.0,729.0,1.3475734E-6
730.0,730.0,3.053016E-5
731.0,731.0,1.2258523E-4
732.0,732.0,0.18731308
733.0,733.0,0.077035196
734.0,734.0,5.3262553E-4
735.0,735.0,0.4341766
736.0,736.0,7.656737E-7
737.0,737.0,0.021049222
738.0,738.0,3.18704E-4
739.0,739.0,0.0040477915
740.0,740.0,0.01767998
741.0,741.0,0.7660936
742.0,742.0,4.2153166E-5
743.0,743.0,0.206302
744.0,744.0,0.40868327
745.0,745.0,2.4544672E-4
746.0,746.0,2.743854E-6
747.0,747.0,0.11543474
748.0,748.0,6.9174064E-5
749.0,749.0,1.5309526E-4
750.0,750.0,4.3320205E-4
751.0,751.0,1.8188974E-4
752.0,752.0,0.3986702
753.0,753.0,0.5917539
754.0,754.0,7.987801E-5
755.0,755.0,0.038444113
756.0,756.0,0.65791494
757.0,757.0,0.5364249
758.0,758.0,0.008245647
759.0,759.0,4.1769694E-5
760.0,760.0,0.02783383
761.0,761.0,0.6514591
762.0,762.0,0.08270877
763.0,763.0,1.2255177E-6
764.0,764.0,0.24534932
765.0,765.0,1.610886E-6
766.0,766.0,2.5027842E-4
767.0,767.0,4.831421E-7
768.0,768.0,0.064160265
769.0,769.0,0.025940651
770.0,770.0,1.6197254E-4
771.0,771.0,2.9726121E-5
772.0,772.0,0.40024325
773.0,773.0,0.054316025
774.0,774.0,1.5370248E-4
775.0,775.0,0.42157412
776.0,776.0,0.47190148
777.0,777.0,0.5872296
778.0,778.0,0.0037876468
779.0,779.0,0.016810557
780.0,780.0,0.09053538
781.0,781.0,4.0309146E-4
782.0,782.0,0.03668534
783.0,783.0,1.1352472E-4
784.0,784.0,1.4419091E-4
785.0,785.0,0.4162101
786.0,786.0,0.015611139
787.0,787.0,1.4392742E-7
788.0,788.0,0.11157798
789.0,789.0,0.6419502
790.0,790.0,8.414435E-5
791.0,791.0,0.510518
792.0,792.0,4.726938E-4
793.0,793.0,7.4240466E-5
794.0,794.0,0.08975693
795.0,795.0,0.034560703
796.0,796.0,0.52456594
797.0,797.0,0.20087168
798.0,798.0,3.5497168E-4
799.0,799.0,1.572345E-6
800.0,800.0,0.43379867
801.0,801.0,0.99351746
802.0,802.0,0.0010166861
803.0,803.0,0.045470454
804.0,804.0,0.63045543
805.0,805.0,1.7263905E-5
806.0,806.0,0.0041715116
807.0,807.0,0.48631912
808.0,808.0,0.5268421
809.0,809.0,0.0016506468
810.0,810.0,0.29197863
811.0,811.0,0.41546845
812.0,812.0,6.351703E-7
813.0,813.0,9.260083E-7
814.0,814.0,7.210998E-7
815.0,815.0,0.01788619
816.0,816.0,1.14106815E-5
817.0,817.0,0.01239272
818.0,818.0,0.16663413
819.0,819.0,0.7980527
820.0,820.0,4.9483665E-4
821.0,821.0,0.3482107
822.0,822.0,0.5507455
823.0,823.0,1.9181537E-4
824.0,824.0,6.2452273E-6
825.0,825.0,3.8789144E-6
826.0,826.0,0.085344315
827.0,827.0,9.542985E-4
828.0,828.0,0.44887632
829.0,829.0,0.0022978974
830.0,830.0,2.8469972E-7
831.0,831.0,2.7822485E-5
832.0,832.0,5.8209257E-6
833.0,833.0,7.198383E-4
834.0,834.0,0.025263013
835.0,835.0,4.2362193E-5
836.0,836.0,0.004528771
837.0,837.0,0.5256006
838.0,838.0,0.14875133
839.0,839.0,3.0529627E-5
840.0,840.0,0.4360401
841.0,841.0,0.0011021938
842.0,842.0,0.11127393
843.0,843.0,0.12980732
844.0,844.0,7.5084434E-5
845.0,845.0,0.39276084
846.0,846.0,0.40193012
847.0,847.0,3.272577E-5
848.0,848.0,0.0015287178
849.0,849.0,3.9021543E-6
850.0,850.0,0.045144126
851.0,851.0,2.054543E-5
852.0,852.0,4.271002E-4
853.0,853.0,4.3551947E-5
854.0,854.0,0.6043816
855.0,855.0,0.018629747
856.0,856.0,0.008299686
857.0,857.0,0.9052424
858.0,858.0,0.06256534
859.0,859.0,0.018903967
860.0,860.0,6.8918955E-5
861.0,861.0,0.023370758
862.0,862.0,0.20233569
863.0,863.0,2.6375117E-5
864.0,864.0,1.007078E-6
865.0,865.0,5.7567526E-5
866.0,866.0,0.0067479773
867.0,867.0,0.79687315
868.0,868.0,0.6002709
869.0,869.0,3.7416612E-7
870.0,870.0,0.3052621
871.0,871.0,1.7934995E-4
872.0,872.0,0.37327483
873.0,873.0,4.6776745E-6
874.0,874.0,2.0457655E-6
875.0,875.0,1.6121374E-5
876.0,876.0,0.16782688
877.0,877.0,0.0011012286
878.0,878.0,2.7932515E-4
879.0,879.0,8.0066944E-5
880.0,880.0,6.821309E-5
881.0,881.0,0.24469723
882.0,882.0,1.8888957E-5
883.0,883.0,0.102695815
884.0,884.0,5.5984674E-7
885.0,885.0,0.3093914
886.0,886.0,0.18099833
887.0,887.0,6.3926226E-4
888.0,888.0,2.5811658E-5
889.0,889.0,0.6463471
890.0,890.0,0.540385
891.0,891.0,0.56454164
892.0,892.0,0.39610106
893.0,893.0,0.009035429
894.0,894.0,5.8137965E-5
895.0,895.0,4.760258E-4
896.0,896.0,0.33468118
897.0,897.0,0.033069484
898.0,898.0,2.4755658E-5
899.0,899.0,0.40582553
900.0,900.0,1.3261341E-4
901.0,901.0,2.7497003E-6
902.0,902.0,0.045065884
903.0,903.0,0.0067911274
904.0,904.0,0.01038567
905.0,905.0,0.029602772
906.0,906.0,0.003085544
907.0,907.0,0.005914526
908.0,908.0,0.5096329
909.0,909.0,6.7403605E-5
910.0,910.0,0.7469243
911.0,911.0,8.037597E-6
912.0,912.0,8.478331E-5
913.0,913.0,0.11414103
914.0,914.0,0.1602931
915.0,915.0,0.60502243
916.0,916.0,2.2517523E-7
917.0,917.0,0.06423815
918.0,918.0,0.70438933
919.0,919.0,0.26747277
920.0,920.0,1.0365576E-5
