x,y,species median
538.0,538.0,0.57850325
539.0,539.0,5.844969E-4
540.0,540.0,6.1710207E-6
541.0,541.0,0.07798521
542.0,542.0,0.58169675
543.0,543.0,0.4447508
544.0,544.0,0.106633745
545.0,545.0,0.024442278
546.0,546.0,0.51363593
547.0,547.0,0.16053373
548.0,548.0,0.049174625
549.0,549.0,2.6160907E-7
550.0,550.0,0.5383282
551.0,551.0,0.046276573
552.0,552.0,3.5532434E-5
553.0,553.0,2.4676187E-6
554.0,554.0,0.06912135
555.0,555.0,1.1537593E-7
556.0,556.0,0.0045095617
557.0,557.0,1.6338992E-5
558.0,558.0,0.5116252
559.0,559.0,4.221713E-4
560.0,560.0,2.6574603E-6
561.0,561.0,0.3275471
562.0,562.0,0.10406454
563.0,563.0,0.001410429
564.0,564.0,6.959528E-6
565.0,565.0,0.015931595
566.0,566.0,4.2746196E-4
567.0,567.0,0.55969614
568.0,568.0,0.055516485
569.0,569.0,0.86994547
570.0,570.0,0.31899807
571.0,571.0,0.26371756
572.0,572.0,0.15142332
573.0,573.0,0.008785317
574.0,574.0,3.5449577E-6
575.0,575.0,0.0013118088
576.0,576.0,0.24900109
577.0,577.0,1.06825755E-5
578.0,578.0,1.0208511E-5
579.0,579.0,4.222231E-7
580.0,580.0,0.62966466
581.0,581.0,0.026576336
582.0,582.0,0.32535616
583.0,583.0,0.5022038
584.0,584.0,0.09934465
585.0,585.0,8.667581E-7
586.0,586.0,0.44760218
587.0,587.0,0.49317923
588.0,588.0,0.17406549
589.0,589.0,0.0065937974
590.0,590.0,0.15240368
591.0,591.0,0.024022184
592.0,592.0,0.58419067
593.0,593.0,0.62801415
594.0,594.0,6.1430133E-6
595.0,595.0,6.008308E-7
596.0,596.0,0.030570885
597.0,597.0,0.59901315
598.0,598.0,4.2832067E-5
599.0,599.0,0.03179026
600.0,600.0,0.46105748
601.0,601.0,3.7688656E-5
602.0,602.0,5.2653335E-4
603.0,603.0,2.7522692E-5
604.0,604.0,0.24274133
605.0,605.0,0.49713135
606.0,606.0,0.005809785
607.0,607.0,0.00592572
608.0,608.0,1.6967902E-5
609.0,609.0,9.0221345E-4
610.0,610.0,0.5333569
611.0,611.0,9.188765E-6
612.0,612.0,9.432444E-7
613.0,613.0,1.2909989E-4
614.0,614.0,0.56496483
615.0,615.0,0.49581894
616.0,616.0,0.074579775
617.0,617.0,0.43551072
618.0,618.0,7.402543E-6
619.0,619.0,0.13636272
620.0,620.0,0.58292633
621.0,621.0,9.947247E-7
622.0,622.0,0.014605795
623.0,623.0,0.1669036
624.0,624.0,0.012594537
625.0,625.0,0.23380515
626.0,626.0,0.87747383
627.0,627.0,0.0029132941
628.0,628.0,0.553707
629.0,629.0,0.1296826
630.0,630.0,3.7205078E-5
631.0,631.0,0.042992137
632.0,632.0,0.7447216
633.0,633.0,0.34830195
634.0,634.0,0.26153088
635.0,635.0,0.01158555
636.0,636.0,0.684927
637.0,637.0,0.0023464102
638.0,638.0,0.30969393
639.0,639.0,4.958098E-4
640.0,640.0,0.11191746
641.0,641.0,6.0290582E-5
642.0,642.0,0.012658174
643.0,643.0,4.7832564E-4
644.0,644.0,0.4764096
645.0,645.0,0.028916841
646.0,646.0,0.01887269
647.0,647.0,0.5159461
648.0,648.0,0.0010900736
649.0,649.0,0.045523953
650.0,650.0,0.015074362
651.0,651.0,6.353014E-7
652.0,652.0,0.0026785918
653.0,653.0,9.452449E-5
654.0,654.0,0.54370284
655.0,655.0,0.26228252
656.0,656.0,0.5707728
657.0,657.0,1.2175406E-5
658.0,658.0,0.6659294
659.0,659.0,0.004324514
660.0,660.0,2.041352E-6
661.0,661.0,0.6086487
662.0,662.0,0.5599473
663.0,663.0,0.24393016
664.0,664.0,1.743456E-5
665.0,665.0,0.053796727
666.0,666.0,0.5306937
667.0,667.0,3.1079267E-7
668.0,668.0,1.0215235E-7
669.0,669.0,0.6737418
670.0,670.0,2.826025E-7
671.0,671.0,8.479061E-6
672.0,672.0,3.7778814E-6
673.0,673.0,0.8028766
674.0,674.0,1.0935129E-4
675.0,675.0,1.5578432E-6
676.0,676.0,0.4643548
677.0,677.0,0.0760868
678.0,678.0,0.08969496
679.0,679.0,0.71391475
680.0,680.0,1.1635592E-5
681.0,681.0,2.1577126E-4
682.0,682.0,0.10694728
683.0,683.0,1.1937425E-5
684.0,684.0,0.38026154
685.0,685.0,3.8548398E-5
686.0,686.0,0.0067273765
687.0,687.0,0.1338105
688.0,688.0,8.7450855E-5
689.0,689.0,0.0108900815
690.0,690.0,0.5104181
691.0,691.0,0.024423229
692.0,692.0,6.716136E-5
693.0,693.0,0.009416971
694.0,694.0,1.7346565E-5
695.0,695.0,0.3117333
696.0,696.0,0.05912333
697.0,697.0,0.61520433
698.0,698.0,0.7611425
699.0,699.0,4.8702127E-6
700.0,700.0,0.67492384
701.0,701.0,0.013396909
702.0,702.0,0.5284196
703.0,703.0,0.01297632
704.0,704.0,3.3094059E-6
705.0,705.0,1.813067E-4
706.0,706.0,0.3522245
707.0,707.0,0.80934983
708.0,708.0,0.5947574
709.0,709.0,0.12582694
710.0,710.0,0.19433127
711.0,711.0,0.17416033
712.0,712.0,4.2779848E-4
713.0,713.0,0.68618524
714.0,714.0,0.2414712
715.0,715.0,0.21571088
716.0,716.0,0.012409505
717.0,717.0,5.8034507E-6
718.0,718.0,1.4056386E-4
719.0,719.0,0.60771257
720.0,720.0,0.09781957
721.0,721.0,1.2054553E-5
722.0,722.0,0.39027622
723.0,723.0,0.009440985
724.0,724.0,0.008403558
725.0,725.0,8.6564455E-8
726.0,726.0,0.68288225
727.0,727.0,6.7270906E-7
728.0,728.0,2.3111903E-7
729.0,729.0,0.5721856
730.0,730.0,3.3495258E-4
731.0,731.0,0.10589776
732.0,732.0,1.4383958E-4
733.0,733.0,0.16623545
734.0,734.0,0.03513443
735.0,735.0,0.014375111
736.0,736.0,2.2879003E-6
737.0,737.0,0.019596143
738.0,738.0,2.3398073E-8
739.0,739.0,2.9187144E-5
740.0,740.0,0.937097
