x,y,species_4 cloglog values
413.0,413.0,0.0030759573
414.0,414.0,0.0017542823
415.0,415.0,1.5216839E-5
416.0,416.0,0.06866604
417.0,417.0,5.7187526E-6
418.0,418.0,1.7395568E-7
419.0,419.0,0.8736933
420.0,420.0,0.12980868
421.0,421.0,0.18183297
422.0,422.0,0.6807292
423.0,423.0,0.5949285
424.0,424.0,0.42786488
425.0,425.0,4.3972956E-5
426.0,426.0,0.08313983
427.0,427.0,1.122337E-5
428.0,428.0,0.303487
429.0,429.0,0.088245064
430.0,430.0,3.2686975E-4
431.0,431.0,0.0027859735
432.0,432.0,0.85001093
433.0,433.0,0.15486948
434.0,434.0,0.48853678
435.0,435.0,0.32452086
436.0,436.0,0.001443702
437.0,437.0,0.01773585
438.0,438.0,3.6741496E-6
439.0,439.0,0.38410127
440.0,440.0,2.1968766E-5
441.0,441.0,0.30004162
442.0,442.0,0.17558675
443.0,443.0,0.78154194
444.0,444.0,0.80913895
445.0,445.0,0.010740635
446.0,446.0,0.42007425
447.0,447.0,2.689817E-8
448.0,448.0,0.7541267
449.0,449.0,0.050490268
450.0,450.0,0.51893747
451.0,451.0,0.5954949
452.0,452.0,5.288481E-6
453.0,453.0,3.1277784E-7
454.0,454.0,2.8694149E-5
455.0,455.0,0.5487574
456.0,456.0,4.6601083E-9
457.0,457.0,8.2167296E-4
458.0,458.0,0.4230911
459.0,459.0,0.026513891
460.0,460.0,0.92219156
461.0,461.0,2.7951752E-5
462.0,462.0,0.2218393
463.0,463.0,2.2847844E-6
464.0,464.0,3.5698735E-4
465.0,465.0,0.12296752
466.0,466.0,5.704649E-7
467.0,467.0,0.4053685
468.0,468.0,0.0900698
469.0,469.0,2.5373325E-5
470.0,470.0,0.03532773
471.0,471.0,9.347119E-7
472.0,472.0,8.2974606E-7
473.0,473.0,7.3308475E-9
474.0,474.0,0.33211362
475.0,475.0,0.53484654
476.0,476.0,0.0050993077
477.0,477.0,3.1786212E-6
478.0,478.0,0.5088211
479.0,479.0,0.0032663934
480.0,480.0,0.0016611103
481.0,481.0,8.0629695E-7
482.0,482.0,4.69046E-4
483.0,483.0,0.5490602
484.0,484.0,0.0010722838
485.0,485.0,1.8713748E-4
486.0,486.0,3.3612192E-5
487.0,487.0,7.363024E-4
488.0,488.0,0.5544639
489.0,489.0,0.021891471
490.0,490.0,0.0031185232
491.0,491.0,0.0015012426
492.0,492.0,3.42869E-6
493.0,493.0,0.12673935
494.0,494.0,3.310732E-5
495.0,495.0,0.00543405
496.0,496.0,0.00217388
497.0,497.0,2.8183127E-5
498.0,498.0,0.8399019
499.0,499.0,0.06924556
500.0,500.0,1.0694503E-5
501.0,501.0,0.0796969
502.0,502.0,0.03661534
503.0,503.0,3.1585782E-4
504.0,504.0,0.11029764
505.0,505.0,0.19873276
506.0,506.0,5.2096223E-4
507.0,507.0,0.3513785
508.0,508.0,0.112686194
509.0,509.0,9.561399E-6
510.0,510.0,1.0604809E-4
511.0,511.0,0.61076355
512.0,512.0,0.10549902
513.0,513.0,1.8290072E-4
514.0,514.0,0.010298804
515.0,515.0,1.0574801E-5
516.0,516.0,4.982411E-4
517.0,517.0,0.16761369
518.0,518.0,0.024995564
519.0,519.0,0.2209914
520.0,520.0,0.017725904
521.0,521.0,0.20742556
522.0,522.0,6.4539217E-6
523.0,523.0,0.11917182
524.0,524.0,2.5669624E-6
525.0,525.0,0.17304686
526.0,526.0,0.481114
527.0,527.0,0.29699782
528.0,528.0,8.658511E-4
529.0,529.0,1.00562964E-7
530.0,530.0,3.6014804E-5
531.0,531.0,3.5950277E-6
532.0,532.0,0.47173193
533.0,533.0,3.5404053E-4
534.0,534.0,1.8079231E-6
535.0,535.0,0.43039513
536.0,536.0,0.005998193
537.0,537.0,0.82796556
538.0,538.0,0.5267602
539.0,539.0,6.543223E-4
540.0,540.0,6.1710207E-6
541.0,541.0,0.08986109
542.0,542.0,0.59694
543.0,543.0,0.4447508
544.0,544.0,0.13315628
545.0,545.0,0.024751903
546.0,546.0,0.51363593
547.0,547.0,0.181405
548.0,548.0,0.06768875
549.0,549.0,1.3595897E-7
550.0,550.0,0.5404819
551.0,551.0,0.0701595
552.0,552.0,3.5532434E-5
553.0,553.0,2.4676187E-6
554.0,554.0,0.06912135
555.0,555.0,1.08022945E-7
556.0,556.0,0.0129375225
557.0,557.0,1.6338992E-5
558.0,558.0,0.61652493
559.0,559.0,1.5915936E-4
560.0,560.0,2.6574603E-6
561.0,561.0,0.35202336
562.0,562.0,0.16096227
563.0,563.0,0.0018541858
564.0,564.0,9.465548E-6
565.0,565.0,0.02318028
566.0,566.0,1.9156595E-4
567.0,567.0,0.55969614
568.0,568.0,0.08226339
569.0,569.0,0.9448876
570.0,570.0,0.4057889
571.0,571.0,0.2745221
572.0,572.0,0.23919474
573.0,573.0,0.015610941
574.0,574.0,5.208056E-6
575.0,575.0,0.0021595622
576.0,576.0,0.28355613
577.0,577.0,1.06825755E-5
578.0,578.0,2.0907337E-6
579.0,579.0,2.9750086E-7
580.0,580.0,0.62966466
581.0,581.0,0.040978678
582.0,582.0,0.32642177
583.0,583.0,0.5022038
584.0,584.0,0.1382213
585.0,585.0,1.5338854E-7
586.0,586.0,0.44760218
587.0,587.0,0.5447214
588.0,588.0,0.1745806
589.0,589.0,0.009837648
590.0,590.0,0.17553794
591.0,591.0,0.04220803
592.0,592.0,0.58419067
593.0,593.0,0.70676523
594.0,594.0,3.149571E-6
595.0,595.0,5.663101E-7
596.0,596.0,0.05486195
597.0,597.0,0.71531665
598.0,598.0,2.8984165E-5
599.0,599.0,0.024734216
600.0,600.0,0.46105748
601.0,601.0,3.7688656E-5
602.0,602.0,5.2653335E-4
603.0,603.0,1.0108289E-5
604.0,604.0,0.24274133
605.0,605.0,0.47366416
606.0,606.0,0.011147841
607.0,607.0,0.008522521
608.0,608.0,1.5263897E-5
609.0,609.0,0.0012227383
610.0,610.0,0.5510163
611.0,611.0,9.188765E-6
612.0,612.0,6.0968665E-7
613.0,613.0,1.2909989E-4
614.0,614.0,0.590084
615.0,615.0,0.56804055
616.0,616.0,0.074579775
617.0,617.0,0.31958008
618.0,618.0,1.2915423E-5
619.0,619.0,0.1563328
620.0,620.0,0.6959651
621.0,621.0,9.947247E-7
622.0,622.0,0.022442743
623.0,623.0,0.18786004
624.0,624.0,0.01716402
625.0,625.0,0.23792672
626.0,626.0,0.9335704
627.0,627.0,0.004661857
628.0,628.0,0.6090272
629.0,629.0,0.24812299
630.0,630.0,1.6177357E-5
631.0,631.0,0.052159477
632.0,632.0,0.784074
633.0,633.0,0.422424
634.0,634.0,0.20221037
635.0,635.0,0.027819183
636.0,636.0,0.684927
637.0,637.0,0.006304485
638.0,638.0,0.30969393
639.0,639.0,2.0410623E-4
640.0,640.0,0.12615292
641.0,641.0,6.0290582E-5
642.0,642.0,0.02021664
643.0,643.0,4.2900204E-4
644.0,644.0,0.60548854
645.0,645.0,0.048556495
646.0,646.0,0.019734398
647.0,647.0,0.5159461
648.0,648.0,0.0016908429
649.0,649.0,0.058849238
650.0,650.0,0.030099286
651.0,651.0,2.689405E-7
652.0,652.0,0.0026785918
653.0,653.0,6.1403094E-5
654.0,654.0,0.65037954
655.0,655.0,0.07961409
656.0,656.0,0.6095877
657.0,657.0,4.9165246E-6
658.0,658.0,0.6677759
659.0,659.0,0.010543609
660.0,660.0,2.041352E-6
661.0,661.0,0.5147525
662.0,662.0,0.5451935
663.0,663.0,0.24957654
664.0,664.0,1.2792957E-5
665.0,665.0,0.07772628
666.0,666.0,0.6135469
667.0,667.0,2.1582889E-7
668.0,668.0,1.0215235E-7
669.0,669.0,0.7280196
670.0,670.0,2.826025E-7
671.0,671.0,2.6253108E-6
672.0,672.0,2.3195757E-5
673.0,673.0,0.89070743
674.0,674.0,4.2914362E-5
675.0,675.0,4.5851374E-7
